Year,"Pounds x 100,000 of pesticides used",Chemical,Category
2001,0.62,Chlorpyrifos,Merced
2002,0.33,Chlorpyrifos,Merced
2003,0.51,Chlorpyrifos,Merced
2004,0.64,Chlorpyrifos,Merced
2005,0.68,Chlorpyrifos,Merced
2006,0.66,Chlorpyrifos,Merced
2007,0.47,Chlorpyrifos,Merced
2008,0.62,Chlorpyrifos,Merced
2009,0.58,Chlorpyrifos,Merced
2010,0.41,Chlorpyrifos,Merced
2011,0.34,Chlorpyrifos,Merced
2012,0.38,Chlorpyrifos,Merced
2013,0.41,Chlorpyrifos,Merced
2014,0.54,Chlorpyrifos,Merced
2015,0.38,Chlorpyrifos,Merced
2001,0.24,Diazinon,Merced
2002,0.14,Diazinon,Merced
2003,0.1,Diazinon,Merced
2004,0.2,Diazinon,Merced
2005,0.04,Diazinon,Merced
2006,0.03,Diazinon,Merced
2007,0.02,Diazinon,Merced
2008,0.01,Diazinon,Merced
2009,0.01,Diazinon,Merced
2010,0.0094501,Diazinon,Merced
2011,0.0081548,Diazinon,Merced
2012,0.01,Diazinon,Merced
2013,0.02,Diazinon,Merced
2014,0.0053916,Diazinon,Merced
2015,0.01,Diazinon,Merced
2001,0.18,Malathion,Merced
2002,0.16,Malathion,Merced
2003,0.11,Malathion,Merced
2004,0.24,Malathion,Merced
2005,0.25,Malathion,Merced
2006,0.28,Malathion,Merced
2007,0.29,Malathion,Merced
2008,0.26,Malathion,Merced
2009,0.21,Malathion,Merced
2010,0.17,Malathion,Merced
2011,0.51,Malathion,Merced
2012,0.26,Malathion,Merced
2013,0.35,Malathion,Merced
2014,0.21,Malathion,Merced
2015,0.22,Malathion,Merced
