Parameter,Min,Max
PFAC,0.6,0.8
ANETD,10,35
uslek,0.05,0.65
uslels,0.01,5
uslep,0.1,1
slp,0.001,5
hl,1,5000
CN_c,61,91
CN_f,82,88
uslec_c,0.001,1
uslec_f,0.001,1
MNGN,0.006,0.47
depth,1,140
COVMAX,0.001,1
HTMAX,500,900
holdup,0.1,0.3
bd1,0.86,1.76
bd2,0.86,1.76
bd3,0.86,1.76
bd4,0.86,1.76
bd5,0.86,1.76
fc,0.25,0.43
WP,0.05,0.24
OC,0.01,4
dep,0.1,6
app_rate,0.1,3
app_eff,0.1,0.99
PLVKRT,0.1,0.66
DWRATE,0.01,0.1
DSRATE,0.01,0.1
koc,600,1000
aer_aq,5,35
temp_ref_aer,5,35
anae_aq,5,150
temp_ref_anae,5,35
photo,0.1,25
RFLAT,5,45
hydro,0.1,50
SOL,0.1,90
benthic_depth,0.01,1
porosity,0.1,0.8
bulk_density,0.86,1.76
FROC2,0.01,0.99
DOC2,0.01,60
BNMAS,0.001,5
SUSED,0.005,80
CHL,0.001,1.5
FROC1,0.01,1
DOC1,0.1,15
PLMAS,0.001,10
depth_0,0.01,1
depth_max,0.01,1
bf,0,0.001
